wingRegion,Image,tricomeCount
8,KP_EF_R2_11.tif,92
9,KP_EF_R2_11.tif,101
10,KP_EF_R2_11.tif,86
11,KP_EF_R2_11.tif,73
12,KP_EF_R2_11.tif,73
13,KP_EF_R2_11.tif,82
14,KP_EF_R2_11.tif,74
15,KP_EF_R2_11.tif,59
16,KP_EF_R2_11.tif,61
1,KP_EF_R2_16.tif,65
2,KP_EF_R2_16.tif,69
3,KP_EF_R2_16.tif,84
4,KP_EF_R2_16.tif,78
5,KP_EF_R2_16.tif,67
6,KP_EF_R2_16.tif,72
7,KP_EF_R2_16.tif,77
8,KP_EF_R2_16.tif,79
9,KP_EF_R2_16.tif,81
10,KP_EF_R2_16.tif,74
11,KP_EF_R2_16.tif,74
12,KP_EF_R2_16.tif,68
13,KP_EF_R2_16.tif,80
14,KP_EF_R2_16.tif,75
15,KP_EF_R2_16.tif,70
16,KP_EF_R2_16.tif,76
1,KP_EF_R2_21.tif,65
2,KP_EF_R2_21.tif,70
3,KP_EF_R2_21.tif,80
4,KP_EF_R2_21.tif,76
5,KP_EF_R2_21.tif,74
6,KP_EF_R2_21.tif,63
7,KP_EF_R2_21.tif,82
8,KP_EF_R2_21.tif,76
9,KP_EF_R2_21.tif,80
10,KP_EF_R2_21.tif,86
11,KP_EF_R2_21.tif,72
12,KP_EF_R2_21.tif,78
13,KP_EF_R2_21.tif,77
14,KP_EF_R2_21.tif,80
15,KP_EF_R2_21.tif,58
16,KP_EF_R2_21.tif,71
1,KP_EF_R2_20.tif,64
2,KP_EF_R2_20.tif,68
3,KP_EF_R2_20.tif,81
4,KP_EF_R2_20.tif,75
5,KP_EF_R2_20.tif,68
6,KP_EF_R2_20.tif,63
7,KP_EF_R2_20.tif,75
8,KP_EF_R2_20.tif,71
9,KP_EF_R2_20.tif,86
10,KP_EF_R2_20.tif,86
11,KP_EF_R2_20.tif,77
12,KP_EF_R2_20.tif,77
13,KP_EF_R2_20.tif,80
14,KP_EF_R2_20.tif,76
15,KP_EF_R2_20.tif,64
16,KP_EF_R2_20.tif,72
1,KP_EF_R2_19.tif,55
2,KP_EF_R2_19.tif,55
3,KP_EF_R2_19.tif,73
4,KP_EF_R2_19.tif,65
5,KP_EF_R2_19.tif,77
6,KP_EF_R2_19.tif,64
7,KP_EF_R2_19.tif,62
8,KP_EF_R2_19.tif,80
9,KP_EF_R2_19.tif,64
10,KP_EF_R2_19.tif,79
11,KP_EF_R2_19.tif,75
12,KP_EF_R2_19.tif,70
13,KP_EF_R2_19.tif,89
14,KP_EF_R2_19.tif,79
15,KP_EF_R2_19.tif,53
16,KP_EF_R2_19.tif,81
1,KP_EF_R2_17.tif,58
2,KP_EF_R2_17.tif,68
3,KP_EF_R2_17.tif,80
4,KP_EF_R2_17.tif,70
5,KP_EF_R2_17.tif,71
6,KP_EF_R2_17.tif,72
7,KP_EF_R2_17.tif,63
8,KP_EF_R2_17.tif,81
9,KP_EF_R2_17.tif,84
10,KP_EF_R2_17.tif,90
11,KP_EF_R2_17.tif,61
12,KP_EF_R2_17.tif,74
13,KP_EF_R2_17.tif,78
14,KP_EF_R2_17.tif,76
15,KP_EF_R2_17.tif,67
16,KP_EF_R2_17.tif,71
1,KP_EF_R3_04.tif,64
2,KP_EF_R3_04.tif,64
3,KP_EF_R3_04.tif,78
4,KP_EF_R3_04.tif,68
5,KP_EF_R3_04.tif,78
6,KP_EF_R3_04.tif,79
7,KP_EF_R3_04.tif,70
8,KP_EF_R3_04.tif,63
9,KP_EF_R3_04.tif,82
10,KP_EF_R3_04.tif,78
11,KP_EF_R3_04.tif,76
12,KP_EF_R3_04.tif,57
13,KP_EF_R3_04.tif,71
14,KP_EF_R3_04.tif,70
15,KP_EF_R3_04.tif,54
16,KP_EF_R3_04.tif,74
1,KP_EF_R3_03.tif,65
2,KP_EF_R3_03.tif,65
3,KP_EF_R3_03.tif,84
4,KP_EF_R3_03.tif,67
5,KP_EF_R3_03.tif,73
6,KP_EF_R3_03.tif,65
7,KP_EF_R3_03.tif,73
8,KP_EF_R3_03.tif,83
9,KP_EF_R3_03.tif,73
10,KP_EF_R3_03.tif,74
11,KP_EF_R3_03.tif,73
12,KP_EF_R3_03.tif,69
13,KP_EF_R3_03.tif,77
14,KP_EF_R3_03.tif,78
15,KP_EF_R3_03.tif,62
16,KP_EF_R3_03.tif,66
1,KP_EF_R3_02.tif,63
2,KP_EF_R3_02.tif,75
3,KP_EF_R3_02.tif,69
4,KP_EF_R3_02.tif,71
5,KP_EF_R3_02.tif,70
6,KP_EF_R3_02.tif,69
7,KP_EF_R3_02.tif,67
8,KP_EF_R3_02.tif,90
9,KP_EF_R3_02.tif,85
10,KP_EF_R3_02.tif,79
11,KP_EF_R3_02.tif,72
12,KP_EF_R3_02.tif,71
13,KP_EF_R3_02.tif,74
14,KP_EF_R3_02.tif,80
15,KP_EF_R3_02.tif,72
16,KP_EF_R3_02.tif,70
1,KP_EF_R3_01.tif,93
2,KP_EF_R3_01.tif,96
3,KP_EF_R3_01.tif,85
4,KP_EF_R3_01.tif,93
5,KP_EF_R3_01.tif,112
6,KP_EF_R3_01.tif,76
7,KP_EF_R3_01.tif,75
8,KP_EF_R3_01.tif,81
9,KP_EF_R3_01.tif,93
10,KP_EF_R3_01.tif,86
