"","log_area_z","sex","cross","fit","se","lower","upper"
"80",-0.012,"m","zi251xef43",0.244308425523474,0.023380088780732,0.201425728875908,0.292971330734139
"81",0.11,"m","zi251xef43",0.253663681492481,0.0267137140987868,0.20493563651614,0.30946814478792
"82",0.23,"m","zi251xef43",0.263093324785907,0.0302142409970713,0.208267451953782,0.326401873786774
"83",0.35,"m","zi251xef43",0.272745402004563,0.0339101546616983,0.211516808582102,0.343966161522579
"84",0.47,"m","zi251xef43",0.282615778998869,0.0377818320807653,0.214709613460746,0.362095766116878
"85",0.59,"m","zi251xef43",0.292699592313339,0.0418123682397619,0.217864412989217,0.380727345940222
"86",0.7,"m","zi251xef43",0.302125813067985,0.0456334271097444,0.220734539547097,0.39819307773298
"87",0.82,"m","zi251xef43",0.312602412007905,0.0499260972127136,0.223851285192062,0.417608326503516
"88",0.94,"m","zi251xef43",0.323274015003052,0.0543344176928083,0.226960583026977,0.437336560856746
"89",1.1,"m","zi251xef43",0.337792603676371,0.0603670570738803,0.231104751164315,0.464009924323339
"90",1.2,"m","zi251xef43",0.347026697244027,0.0642132659510847,0.233698189102354,0.480828540487345
"91",1.3,"m","zi251xef43",0.356377370932045,0.0681072552196394,0.236296611741789,0.497711737023513
"92",1.4,"m","zi251xef43",0.365838837745908,0.0720399950162608,0.238901630501885,0.514618406603104
"93",1.5,"m","zi251xef43",0.375404984354111,0.0760022315178908,0.241514582323241,0.531507594048391
"94",1.7,"m","zi251xef43",0.394825308637489,0.0839771188499292,0.246768563980568,0.56507235947836
"95",1.8,"m","zi251xef43",0.404665749641612,0.08797026300393,0.249411312610812,0.58166964696973
"96",1.9,"m","zi251xef43",0.414583431374773,0.0919539484773632,0.252065489404659,0.598093496652014
"97",2,"m","zi251xef43",0.424570833184424,0.0959180938108836,0.254731652404727,0.614308432764999
"98",2.1,"m","zi251xef43",0.434620210338239,0.0998525572708198,0.257410272681888,0.630280942138376
"99",2.3,"m","zi251xef43",0.454872930037301,0.107591845748175,0.262806411320851,0.661375785962005
"100",2.4,"m","zi251xef43",0.465059875391076,0.111376507793424,0.265524544170048,0.67644279906474
"101",-3.5,"f","Zi418Ef43",0.217715323600723,0.173994944901181,0.0362169686237787,0.673328386812833
"102",-3.4,"f","Zi418Ef43",0.217903115324629,0.170306349287915,0.0378125033307602,0.663897887989868
"103",-3.2,"f","Zi418Ef43",0.218279049235353,0.162918953065188,0.041206594496507,0.644655934504705
"104",-3.1,"f","Zi418Ef43",0.21846719141159,0.159220347788006,0.0430101667800296,0.634857686702424
"105",-3,"f","Zi418Ef43",0.218655450394442,0.155518617133456,0.0448881987919958,0.624950739584575
"106",-2.9,"f","Zi418Ef43",0.218843826178248,0.151813884304005,0.0468433417535702,0.614942692693582
"107",-2.8,"f","Zi418Ef43",0.219032318757196,0.148106285090239,0.0488782988216275,0.604841518144751
"108",-2.6,"f","Zi418Ef43",0.219409654276529,0.140683103719541,0.0531987021959464,0.584393430798043
"109",-2.5,"f","Zi418Ef43",0.219598497204545,0.136967872212286,0.0554897733009958,0.574064159225308
"110",-2.4,"f","Zi418Ef43",0.219787456902965,0.133250480423388,0.0578718951339298,0.563676999576113
"111",-2.3,"f","Zi418Ef43",0.219976533365231,0.12953115775777,0.0603479500783323,0.553241492931311
"112",-2.2,"f","Zi418Ef43",0.220165726584634,0.125810161168434,0.0629208321932945,0.542767426658828
"113",-2,"f","Zi418Ef43",0.220544463267264,0.11836433796038,0.0683686404125092,0.521743853576204
"114",-1.9,"f","Zi418Ef43",0.220734006716321,0.114640205245995,0.0712492970731397,0.511214940905087
"115",-1.8,"f","Zi418Ef43",0.220923666894176,0.11091579963798,0.0742382065324411,0.500688613478417
"116",-1.7,"f","Zi418Ef43",0.221113443793366,0.107191598267399,0.0773380977527903,0.490175549386759
"117",-1.6,"f","Zi418Ef43",0.221303337406279,0.103468147573001,0.0805516005293188,0.479686548997644
"118",-1.4,"f","Zi418Ef43",0.221683474742067,0.0960261109113903,0.0873292630844541,0.458824496981183
"119",-1.3,"f","Zi418Ef43",0.221873718448959,0.0923090961249542,0.0908978606078008,0.448473598136419
"120",-1.2,"f","Zi418Ef43",0.222064078837608,0.0885960184691205,0.0945888407032996,0.438191086887085
"121",-1.1,"f","Zi418Ef43",0.222254555899644,0.0848880374518102,0.0984036929722911,0.427988376014946
"122",-0.97,"f","Zi418Ef43",0.222502350492969,0.0800775678778445,0.10354986319621,0.414863280829721
"123",-0.85,"f","Zi418Ef43",0.222731258944494,0.0756500402754417,0.108488333070749,0.402907609780961
"124",-0.73,"f","Zi418Ef43",0.222960335361771,0.0712386424304132,0.113606590977499,0.391127411534447
"125",-0.61,"f","Zi418Ef43",0.223189579729126,0.0668479857506745,0.118901775787928,0.37954540279443
"126",-0.49,"f","Zi418Ef43",0.223418992030564,0.0624839618903661,0.124368348069488,0.368186110337754
"127",-0.37,"f","Zi418Ef43",0.223648572249776,0.0581542013889762,0.129997151145226,0.357076721385911
"128",-0.25,"f","Zi418Ef43",0.223878320370131,0.0538687336562445,0.135774075187578,0.346248335614075
"129",-0.13,"f","Zi418Ef43",0.224108236374683,0.049640951353751,0.141678122611573,0.335737820812311
"130",-0.012,"f","Zi418Ef43",0.224334484139494,0.0455574921293033,0.147577982067788,0.325756437170633
"131",0.11,"f","Zi418Ef43",0.224568571966997,0.0414381170694132,0.153730677860506,0.315864759132522
"132",0.23,"f","Zi418Ef43",0.224798991519269,0.0375234572227458,0.159769422495556,0.306637480401173
"133",0.35,"f","Zi418Ef43",0.225029578884759,0.0337952832006482,0.165699959055755,0.298014293529628
"134",0.47,"f","Zi418Ef43",0.225260334044922,0.0303256215157195,0.171384192695593,0.290142566819904
"135",0.59,"f","Zi418Ef43",0.225491256980893,0.0272170597866345,0.176623570612152,0.283228646055827
"136",0.7,"f","Zi418Ef43",0.225703083708872,0.0248045911074423,0.180802343537942,0.277970872304895
"137",0.82,"f","Zi418Ef43",0.225934328161236,0.0228145256316394,0.184358308721953,0.273739721680061
"138",0.94,"f","Zi418Ef43",0.226165740332547,0.0216772176831907,0.186509894897054,0.271439820125976
"139",1.1,"f","Zi418Ef43",0.226474550755603,0.0217133062820541,0.18675187924736,0.271822290815623
"140",1.2,"f","Zi418Ef43",0.226667708643211,0.0226427619660711,0.185367125284245,0.274074343333892
"141",1.3,"f","Zi418Ef43",0.226860982957289,0.0241871093148877,0.182962778171624,0.277711670621479
"142",1.4,"f","Zi418Ef43",0.227054373685612,0.0262401318188319,0.179746658314252,0.282524499851753
"143",1.5,"f","Zi418Ef43",0.2272478808158,0.0286948017605114,0.175927977670642,0.288300877471322
"144",1.7,"f","Zi418Ef43",0.227635244231471,0.0344600036271685,0.167163784282545,0.302048539300153
"145",1.8,"f","Zi418Ef43",0.227829100491411,0.0376426601254618,0.162466663833076,0.309762046734241
"146",1.9,"f","Zi418Ef43",0.228023073102131,0.0409660422802072,0.157673906511879,0.317913429463131
"147",2,"f","Zi418Ef43",0.228217162050467,0.0443998295765352,0.152843267749688,0.326438348670488
"148",2.1,"f","Zi418Ef43",0.228411367323099,0.0479214716743125,0.148017072355846,0.335287166957804
"149",2.3,"f","Zi418Ef43",0.228800126787179,0.0551647308866595,0.138494230022232,0.353807505913166
"150",2.4,"f","Zi418Ef43",0.228994680951198,0.0588636667510405,0.133837413375299,0.363421114953627
"151",-3.5,"m","Zi418Ef43",0.0654235817291404,0.0404716780641736,0.0187701341683116,0.203934678752582
"152",-3.4,"m","Zi418Ef43",0.0680325804325663,0.0405757727820478,0.0204002083871607,0.203749378164355
"153",-3.2,"m","Zi418Ef43",0.0735419911645124,0.0406166587560002,0.0240820649637588,0.203410527869931
"154",-3.1,"m","Zi418Ef43",0.076448257642985,0.0405463476653301,0.0261558401475964,0.203259332207982
"155",-3,"m","Zi418Ef43",0.0794595248649134,0.0404107399098909,0.0284006186642261,0.203122168563564
"156",-2.9,"m","Zi418Ef43",0.0825787990595021,0.0402062327474581,0.0308290594959061,0.203000734816271
